"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
76,"Sauk","Bank",0.016,0.015,0.007,0.028,"2019-04-17",0
76,"Skagit","Boat",0.037,0.036,0.02,0.065,"2019-04-17",0
76,"Sauk","Boat",0.045,0.043,0.027,0.077,"2019-04-17",0
77,"Skagit","Bank",0.021,0.019,0.008,0.038,"2019-04-18",0
77,"Sauk","Bank",0.015,0.015,0.007,0.027,"2019-04-18",0
77,"Skagit","Boat",0.038,0.036,0.022,0.065,"2019-04-18",0
77,"Sauk","Boat",0.045,0.044,0.028,0.074,"2019-04-18",0
78,"Skagit","Bank",0.021,0.019,0.008,0.038,"2019-04-19",0
78,"Sauk","Bank",0.015,0.015,0.007,0.027,"2019-04-19",0
78,"Skagit","Boat",0.036,0.035,0.017,0.06,"2019-04-19",0
78,"Sauk","Boat",0.044,0.043,0.024,0.073,"2019-04-19",0
79,"Skagit","Bank",0.021,0.02,0.009,0.038,"2019-04-20",1
79,"Sauk","Bank",0.016,0.015,0.007,0.026,"2019-04-20",1
79,"Skagit","Boat",0.034,0.035,0.015,0.054,"2019-04-20",1
79,"Sauk","Boat",0.044,0.043,0.022,0.073,"2019-04-20",1
80,"Skagit","Bank",0.021,0.02,0.008,0.037,"2019-04-21",1
80,"Sauk","Bank",0.016,0.015,0.007,0.027,"2019-04-21",1
80,"Skagit","Boat",0.033,0.034,0.016,0.055,"2019-04-21",1
80,"Sauk","Boat",0.046,0.044,0.027,0.077,"2019-04-21",1
81,"Skagit","Bank",0.022,0.02,0.009,0.04,"2019-04-22",0
81,"Sauk","Bank",0.016,0.015,0.008,0.027,"2019-04-22",0
81,"Skagit","Boat",0.034,0.034,0.015,0.056,"2019-04-22",0
81,"Sauk","Boat",0.05,0.046,0.032,0.086,"2019-04-22",0
82,"Skagit","Bank",0.023,0.021,0.009,0.044,"2019-04-23",0
82,"Sauk","Bank",0.017,0.016,0.009,0.028,"2019-04-23",0
82,"Skagit","Boat",0.035,0.035,0.015,0.059,"2019-04-23",0
82,"Sauk","Boat",0.053,0.049,0.032,0.089,"2019-04-23",0
83,"Skagit","Bank",0.023,0.021,0.01,0.042,"2019-04-24",0
83,"Sauk","Bank",0.016,0.016,0.008,0.029,"2019-04-24",0
83,"Skagit","Boat",0.036,0.035,0.017,0.066,"2019-04-24",0
83,"Sauk","Boat",0.053,0.049,0.031,0.095,"2019-04-24",0
84,"Skagit","Bank",0.022,0.021,0.01,0.042,"2019-04-25",0
84,"Sauk","Bank",0.016,0.015,0.007,0.028,"2019-04-25",0
84,"Skagit","Boat",0.036,0.035,0.016,0.063,"2019-04-25",0
84,"Sauk","Boat",0.052,0.049,0.031,0.092,"2019-04-25",0
85,"Skagit","Bank",0.023,0.021,0.009,0.043,"2019-04-26",0
85,"Sauk","Bank",0.016,0.015,0.007,0.028,"2019-04-26",0
85,"Skagit","Boat",0.036,0.035,0.017,0.062,"2019-04-26",0
85,"Sauk","Boat",0.052,0.05,0.033,0.09,"2019-04-26",0
86,"Skagit","Bank",0.022,0.021,0.01,0.041,"2019-04-27",1
86,"Sauk","Bank",0.016,0.015,0.007,0.029,"2019-04-27",1
86,"Skagit","Boat",0.036,0.035,0.018,0.056,"2019-04-27",1
86,"Sauk","Boat",0.05,0.049,0.029,0.077,"2019-04-27",1
87,"Skagit","Bank",0.022,0.021,0.011,0.04,"2019-04-28",1
87,"Sauk","Bank",0.017,0.016,0.008,0.031,"2019-04-28",1
87,"Skagit","Boat",0.039,0.038,0.022,0.062,"2019-04-28",1
87,"Sauk","Boat",0.053,0.05,0.032,0.088,"2019-04-28",1
88,"Skagit","Bank",0.022,0.021,0.01,0.043,"2019-04-29",0
88,"Sauk","Bank",0.018,0.017,0.008,0.034,"2019-04-29",0
88,"Skagit","Boat",0.042,0.04,0.023,0.07,"2019-04-29",0
88,"Sauk","Boat",0.054,0.051,0.032,0.095,"2019-04-29",0
89,"Skagit","Bank",0.023,0.02,0.01,0.05,"2019-04-30",0
89,"Sauk","Bank",0.017,0.016,0.007,0.037,"2019-04-30",0
89,"Skagit","Boat",0.047,0.043,0.026,0.086,"2019-04-30",0
89,"Sauk","Boat",0.055,0.052,0.03,0.095,"2019-04-30",0
